date,hour,route_id,workday,weather,pace,1016-140,1034-216-1,1038-276,1025-116,1947-211,1946-230-1,1935-230,1035-136,1014-150,1001-156,1021-156,0174-1,0855-1,1010-1
2020-10-05,17,3,1,good,0.20588874402433724,,,,,,,,,,,,,,
2020-10-05,17,4,1,good,0.18706491824510282,,,,,,,,,,877.0,980.0,,,
2020-10-05,17,5,1,good,0.059528587099018114,,,,,,,,,,,,2425.0,2453.0,1905.0
2020-10-05,18,0,1,good,0.12909776617348417,,749.0,,,,,,,,,,,,
2020-10-05,18,1,1,good,0.14301582893640655,,,,,,,,,,,,,,
2020-10-05,18,2,1,good,0.16055419722901387,,,,,,,153.0,,,,,,,
2020-10-05,18,3,1,good,0.1773142112125163,,,,,,,,,,,,,,
2020-10-05,18,4,1,good,0.16359073984134695,,,,,,,,,,858.0,893.0,,,
2020-10-05,18,5,1,good,0.05855205072638253,,,,,,,,,,,,2020.0,1986.0,1546.0
2020-10-05,19,0,1,good,0.12996808819263128,,625.0,,,,,,,,,,,,
2020-10-05,19,1,1,good,0.14213644358048694,,,,,,,,,,,,,,
2020-10-05,19,2,1,good,0.16227474418183466,,,,,,,122.0,,,,,,,
2020-10-05,19,3,1,good,0.16172316384180793,,,,,,,,,,,,,,
2020-10-05,19,4,1,good,0.1535939776590578,,,,,,,,,,730.0,695.0,,,
2020-10-05,19,5,1,good,0.05875270888514327,,,,,,,,,,,,1691.0,1615.0,1243.0
2020-10-05,20,0,1,good,0.12140992167101829,,451.0,,,,,,,,,,,,
2020-10-05,20,1,1,good,0.13561047857076738,,,,,,,,,,,,,,
2020-10-05,20,2,1,good,0.15598116453862174,,,,,,,87.0,,,,,,,
2020-10-05,20,3,1,good,0.15140156453715778,,,,,,,,,,,,,,
2020-10-05,20,4,1,good,0.1513679779828396,,,,,,,,,,537.0,488.0,,,
2020-10-05,20,5,1,good,0.05718757524680953,,,,,,,,,,,,1149.0,1136.0,812.0
2020-10-05,21,0,1,good,0.12607581471811238,,260.0,,,,,,,,,,,,
2020-10-05,21,1,1,good,0.13834120151809684,,,,,,,,,,,,,,
2020-10-05,21,2,1,good,0.14552205016752695,,,,,,,69.0,,,,,,,
2020-10-05,21,3,1,good,0.14575184702303348,,,,,,,,,,,,,,
2020-10-05,21,4,1,good,0.13813339808968755,,,,,,,,,,346.0,283.0,,,
2020-10-05,21,5,1,good,0.05796345346068438,,,,,,,,,,,,740.0,717.0,489.0
2020-10-05,22,0,1,good,0.12174838023401992,,198.0,,,,,,,,,,,,
2020-10-05,22,1,1,good,0.13320373970193466,,,,,,,,,,,,,,
2020-10-05,22,2,1,good,0.14900842162455855,,,,,,,32.0,,,,,,,
2020-10-05,22,3,1,good,0.14906562364189482,,,,,,,,,,,,,,
2020-10-05,22,4,1,good,0.13493605310021045,,,,,,,,,,233.0,215.0,,,
2020-10-05,22,5,1,good,0.056986917088048795,,,,,,,,,,,,569.0,498.0,362.0
2020-10-05,23,0,1,good,0.11686490668213906,,86.0,,,,,,,,,,,,
2020-10-05,23,1,1,good,0.12885309636212164,,,,,,,,,,,,,,
2020-10-05,23,2,1,good,0.14701620936339763,,,,,,,14.0,,,,,,,
2020-10-05,23,3,1,good,0.1448826597131682,,,,,,,,,,,,,,
2020-10-05,23,4,1,good,0.12667961793751012,,,,,,,,,,120.0,95.0,,,
2020-10-05,23,5,1,good,0.0563046793482623,,,,,,,,,,,,249.0,238.0,161.0
2020-10-06,0,0,1,good,0.11398800889662508,,27.0,,,,,,,,,,,,
2020-10-06,0,1,1,good,0.13176895306859207,,,,,,,,,,,,,,
2020-10-06,0,2,1,good,0.13773431132844335,,,,,,,7.0,,,,,,,
2020-10-06,0,3,1,good,0.14124293785310735,,,,,,,,,,,,,,
2020-10-06,0,4,1,good,0.12259187307754571,,,,,,,,,,58.0,46.0,,,
2020-10-06,0,5,1,good,0.05448537870883163,,,,,,,,,,,,98.0,148.0,87.0
2020-10-06,1,0,1,good,0.11575282854656221,,15.0,,,,,,,,,,,,
2020-10-06,1,1,1,good,0.13283347218365268,,,,,,,,,,,,,,
2020-10-06,1,2,1,good,0.14778592773702798,,,,,,,5.0,,,,,,,
2020-10-06,1,3,1,good,0.14819643633202956,,,,,,,,,,,,,,
2020-10-06,1,4,1,good,0.12736765420106846,,,,,,,,,,29.0,25.0,,,
2020-10-06,1,5,1,good,0.053227920913931026,,,,,,,,,,,,74.0,99.0,56.0
2020-10-06,2,0,1,good,0.10816168649066822,,13.0,,,,,,,,,,,,
2020-10-06,2,1,1,good,0.12478015366102008,,,,,,,,,,,,,,
2020-10-06,2,2,1,good,0.139137915421534,,,,,,,4.0,,,,,,,
2020-10-06,2,3,1,good,0.1464037375054324,,,,,,,,,,,,,,
2020-10-06,2,4,1,good,0.12461550914683504,,,,,,,,,,17.0,14.0,,,
2020-10-06,2,5,1,good,0.054231211707734706,,,,,,,,,,,,61.0,73.0,36.0
2020-10-06,3,0,1,good,0.11268252586790445,,3.0,,,,,,,,,,,,
2020-10-06,3,1,1,good,0.1223271313524021,,,,,,,,,,,,,,
2020-10-06,3,2,1,good,0.14081318482296476,,,,,,,7.0,,,,,,,
2020-10-06,3,3,1,good,0.14770751847023034,,,,,,,,,,,,,,
2020-10-06,3,4,1,good,0.1250202363606929,,,,,,,,,,25.0,40.0,,,
2020-10-06,3,5,1,good,0.05487331781576905,,,,,,,,,,,,87.0,99.0,53.0
2020-10-06,4,0,1,good,0.118798955613577,,30.0,,,,,,,,,,,,
2020-10-06,4,1,1,good,0.12764972692770524,,,,,,,,,,,,,,
2020-10-06,4,2,1,good,0.13148600923662046,,,,,,,33.0,,,,,,,
2020-10-06,4,3,1,good,0.14988048674489354,,,,,,,,,,,,,,
2020-10-06,4,4,1,good,0.12433220009713454,,,,,,,,,,79.0,81.0,,,
2020-10-06,4,5,1,good,0.0549402038686893,,,,,,,,,,,,212.0,287.0,162.0
2020-10-06,5,0,1,good,0.1231747413209554,,150.0,,,,,,,,,,,,
2020-10-06,5,1,1,good,0.13824863463852635,,,,,,,,,,,,,,
2020-10-06,5,2,1,good,0.13777958887983338,,,,,,,97.0,,,,,,,
2020-10-06,5,3,1,good,0.1456975228161669,,,,,,,,,,,,,,
2020-10-06,5,4,1,good,0.13064594463331716,,,,,,,,,,392.0,429.0,,,
2020-10-06,5,5,1,good,0.05662573240227947,,,,,,,,,,,,1110.0,1463.0,975.0
2020-10-06,6,0,1,good,0.1260516391064694,,379.0,,,,,,,,,,,,
2020-10-06,6,1,1,good,0.1334814403406461,,,,,,,,,,,,,,
2020-10-06,6,2,1,good,0.15906003803314314,,,,,,,232.0,,,,,,,
2020-10-06,6,3,1,good,0.15514993481095177,,,,,,,,,,,,,,
2020-10-06,6,4,1,good,0.14962765096325079,,,,,,,,,,937.0,1321.0,,,
2020-10-06,6,5,1,good,0.06073253605158252,,,,,,,,,,,,3159.0,3468.0,2363.0
2020-10-06,7,0,1,good,0.1517986655062373,,510.0,,,,,,,,,,,,
2020-10-06,7,1,1,good,0.1569934277515505,,,,,,,,,,,,,,
2020-10-06,7,2,1,good,0.18690573213800596,,,,,,,456.0,,,,,,,
2020-10-06,7,3,1,good,0.17372881355932204,,,,,,,,,,,,,,
2020-10-06,7,4,1,good,0.2311801845556095,,,,,,,,,,1003.0,1574.0,,,
2020-10-06,7,5,1,good,0.06739438692243895,,,,,,,,,,,,,3705.0,2715.0
2020-10-06,8,0,1,good,0.13453727879315344,,499.0,,,,,,,,,,,,
2020-10-06,8,1,1,good,0.14209016014070167,,,,,,,,,,,,,,
2020-10-06,8,2,1,good,0.19537263424793985,,,,,,,381.0,,,,,,,
2020-10-06,8,3,1,good,0.16742720556279878,,,,,,,,,,,,,,
2020-10-06,8,4,1,good,0.23166585721223898,,,,,,,,,,932.0,1270.0,,,
2020-10-06,8,5,1,good,0.06299328464028682,,,,,,,,,,,,3266.0,2795.0,2071.0
2020-10-06,9,0,1,good,0.12448022434967605,,437.0,,,,,,,,,,,,
2020-10-06,9,1,1,good,0.1351939276127002,,,,,,,,,,,,,,
2020-10-06,9,2,1,good,0.16644027890971658,,,,,,,254.0,,,,,,,
2020-10-06,9,3,1,good,0.16460234680573663,,,,,,,,,,,,,,
2020-10-06,9,4,1,good,0.15310830500242834,,,,,,,,,,846.0,1056.0,,,
2020-10-06,9,5,1,good,0.05868582283222303,,,,,,,,,,,,2217.0,2116.0,1599.0
2020-10-06,10,0,1,good,0.12399671211681655,,493.0,,,,,,,,,,,,
2020-10-06,10,1,1,good,0.13898916967509026,,,,,,,,,,,,,,
2020-10-06,10,2,1,good,0.16571583808747622,,,,,,,212.0,,,,,,,
2020-10-06,10,3,1,good,0.17660799652325077,,,,,,,,,,,,,,
2020-10-06,10,4,1,good,0.16116237655819976,,,,,,,,,,759.0,951.0,,,
2020-10-06,10,5,1,good,0.05867244562163898,,,,,,,,,,,,2110.0,2119.0,1588.0
2020-10-06,11,0,1,good,0.12419011700996035,,590.0,,,,,,,,,,,,
2020-10-06,11,1,1,good,0.14514486716652783,,,,,,,,,,,,,,
2020-10-06,11,2,1,good,0.16358779317214525,,,,,,,255.0,,,,,,,
2020-10-06,11,3,1,good,0.17856366797044765,,,,,,,,,,,,,,
2020-10-06,11,4,1,good,0.1569936862554638,,,,,,,,,,761.0,1044.0,,,
2020-10-06,11,5,1,good,0.0604516146293175,,,,,,,,,,,,2240.0,2199.0,1694.0
2020-10-06,12,0,1,good,0.12392418528188764,,558.0,,,,,,,,,,,,
2020-10-06,12,1,1,good,0.14107192446542627,,,,,,,,,,,,,,
2020-10-06,12,2,1,good,0.15946753599565336,,,,,,,277.0,,,,,,,
2020-10-06,12,3,1,good,0.1769882659713168,,,,,,,,,,,,,,
2020-10-06,12,4,1,good,0.15492957746478875,,,,,,,,,,806.0,1044.0,,,
2020-10-06,12,5,1,good,0.060210824838804626,,,,,,,,,,,,2332.0,2277.0,1753.0
2020-10-06,13,0,1,good,0.12477033168939172,,659.0,,,,,,,,,,,,
2020-10-06,13,1,1,good,0.13903545311487553,,,,,,,,,,,,,,
2020-10-06,13,2,1,good,0.16426695644299555,,,,,,,300.0,,,,,,,
2020-10-06,13,3,1,good,0.1732942199043894,,,,,,,,,,,,,,
2020-10-06,13,4,1,good,0.15808644973288005,,,,,,,,,,871.0,1035.0,,,
2020-10-06,13,5,1,good,0.06013056157530033,,,,,,,,,,,,2513.0,2580.0,1949.0
2020-10-06,14,0,1,good,0.13499661541437,,740.0,,,,,,,,,,,,
2020-10-06,14,1,1,good,0.13968342127186892,,,,,,,,,,,,,,
2020-10-06,14,2,1,good,0.17142080956261885,,,,,,,445.0,,,,,,,
2020-10-06,14,3,1,good,0.18959148196436335,,,,,,,,,,,,,,
2020-10-06,14,4,1,good,0.15808644973288002,,,,,,,,,,817.0,1013.0,,,
2020-10-06,14,5,1,good,0.06162880916071382,,,,,,,,,,,,2846.0,2741.0,1955.0
2020-10-06,15,0,1,good,0.16226670534764528,,787.0,,,,,,,,,,,,
2020-10-06,15,1,1,good,0.14107192446542627,,,,,,,,,,,,,,
2020-10-06,15,2,1,good,0.2019378791994929,,,,,,,411.0,,,,,,,
2020-10-06,15,3,1,good,0.23071490656236418,,,,,,,,,,,,,,
2020-10-06,15,4,1,good,0.18228913712158004,,,,,,,,,,903.0,923.0,,,
2020-10-06,15,5,1,good,0.07555448537870885,,,,,,,,,,,,2688.0,3181.0,2114.0
2020-10-06,16,0,1,good,0.15138768010830675,,823.0,,,,,,,,,,,,
2020-10-06,16,1,1,good,0.1398685550310099,,,,,,,,,,,,,,
2020-10-06,16,2,1,good,0.22593498143620394,,,,,,,363.0,,,,,,,
2020-10-06,16,3,1,good,0.2144719687092569,,,,,,,,,,,,,,
